Code,FromCity Unknown,ToCity Unknown,Total Unknown,Status
KT82,1667,1727,3394,✗ MISSING
K5B2,746,767,1513,✗ MISSING
K27K,720,724,1444,✗ MISSING
K0A9,718,726,1444,✗ MISSING
KF45,611,594,1205,✗ MISSING
K29D,590,605,1195,✗ MISSING
K1R8,557,533,1090,✗ MISSING
K1A5,441,444,885,✗ MISSING
KF82,456,421,877,✗ MISSING
K5C1,421,427,848,✗ MISSING
KX60,379,452,831,✗ MISSING
K11R,387,397,784,✗ MISSING
K8A0,351,318,669,✗ MISSING
K46U,306,320,626,✗ MISSING
KM19,262,291,553,✗ MISSING
K4I3,264,272,536,✗ MISSING
KO69,247,270,517,✗ MISSING
K20V,253,256,509,✗ MISSING
K38S,238,247,485,✗ MISSING
K3T5,231,242,473,✗ MISSING
KS25,227,238,465,✗ MISSING
KS21,228,207,435,✗ MISSING
KE38,217,201,418,✗ MISSING
KP19,202,189,391,✗ MISSING
KM40,186,198,384,✗ MISSING
K3J1,183,192,375,✗ MISSING
K6A1,189,181,370,✗ MISSING
KM25,187,173,360,✗ MISSING
K3S8,175,180,355,✗ MISSING
K1B1,177,176,353,✗ MISSING
K6S0,166,180,346,✗ MISSING
K8M1,166,170,336,✗ MISSING
KM54,161,164,325,✗ MISSING
K2I0,159,164,323,✗ MISSING
KT89,158,160,318,✗ MISSING
K4A9,173,138,311,✗ MISSING
KE25,156,152,308,✗ MISSING
K4O4,131,139,270,✗ MISSING
K2G2,131,132,263,✗ MISSING
K67L,132,126,258,✗ MISSING
K1F0,115,114,229,✗ MISSING
KF17,108,113,221,✗ MISSING
K8A1,109,107,216,✗ MISSING
KE11,115,97,212,✗ MISSING
K0R0,100,99,199,✗ MISSING
KS39,99,92,191,✗ MISSING
KW03,98,92,190,✗ MISSING
KD98,95,91,186,✗ MISSING
K1A9,90,93,183,✗ MISSING
KI68,93,88,181,✗ MISSING
K28J,80,94,174,✗ MISSING
K7S0,84,87,171,✗ MISSING
K0G6,91,79,170,✗ MISSING
K79J,89,80,169,✗ MISSING
K2A0,83,85,168,✗ MISSING
KM02,86,82,168,✗ MISSING
KU42,82,83,165,✗ MISSING
KC29,82,82,164,✗ MISSING
KMO8,82,80,162,✗ MISSING
K3DW,79,79,158,✗ MISSING
KL35,73,75,148,✗ MISSING
K2G4,66,74,140,✗ MISSING
KX07,64,72,136,✗ MISSING
K1H2,65,68,133,✗ MISSING
KF05,59,69,128,✗ MISSING
K65S,62,65,127,✗ MISSING
KN03,59,67,126,✗ MISSING
K5T9,65,61,126,✗ MISSING
KS24,68,58,126,✗ MISSING
K3U3,61,64,125,✗ MISSING
KM04,65,60,125,✗ MISSING
KM21,59,64,123,✗ MISSING
KGDK,58,63,121,✗ MISSING
K0D8,60,61,121,✗ MISSING
K60R,63,57,120,✗ MISSING
K2IS,63,56,119,✗ MISSING
KN66,60,57,117,✗ MISSING
KP20,55,61,116,✗ MISSING
KP52,58,57,115,✗ MISSING
K6I2,62,53,115,✗ MISSING
K2W6,58,57,115,✗ MISSING
K3R7,67,47,114,✗ MISSING
KT30,59,53,112,✗ MISSING
K1M5,50,56,106,✗ MISSING
K15J,54,51,105,✗ MISSING
KO89,51,49,100,✗ MISSING
K2V5,55,44,99,✗ MISSING
K71J,50,48,98,✗ MISSING
KW43,47,48,95,✗ MISSING
K9V9,46,49,95,✗ MISSING
KM91,44,49,93,✗ MISSING
KI40,47,44,91,✗ MISSING
K05C,45,46,91,✗ MISSING
K1M4,47,41,88,✗ MISSING
K2G9,39,48,87,✗ MISSING
KP33,42,43,85,✗ MISSING
KC65,37,48,85,✗ MISSING
KC17,44,41,85,✗ MISSING
K3K8,41,42,83,✗ MISSING
KBOK,44,39,83,✗ MISSING
K4A6,44,38,82,✗ MISSING
K9D9,43,38,81,✗ MISSING
KI18,37,43,80,✗ MISSING
KT23,40,40,80,✗ MISSING
K0G7,42,38,80,✗ MISSING
K74V,42,38,80,✗ MISSING
K54J,40,39,79,✗ MISSING
KW40,38,39,77,✗ MISSING
K7S6,34,40,74,✗ MISSING
KS33,41,31,72,✗ MISSING
K12J,37,34,71,✗ MISSING
K4R3,34,33,67,✗ MISSING
KC09,33,34,67,✗ MISSING
K3M7,33,32,65,✗ MISSING
K0M4,33,30,63,✗ MISSING
K0M0,28,35,63,✗ MISSING
KO05,35,27,62,✗ MISSING
KC24,32,30,62,✗ MISSING
KI34,31,30,61,✗ MISSING
KK24,31,30,61,✗ MISSING
KF00,30,30,60,✗ MISSING
K9K8,28,31,59,✗ MISSING
K0M3,18,40,58,✗ MISSING
K42A,30,27,57,✗ MISSING
KL08,28,27,55,✗ MISSING
K19M,24,30,54,✗ MISSING
K3B1,24,28,52,✗ MISSING
KO43,26,26,52,✗ MISSING
K6A2,24,27,51,✗ MISSING
KY72,34,17,51,✗ MISSING
K87I,27,23,50,✗ MISSING
KF44,28,21,49,✗ MISSING
K98D,20,29,49,✗ MISSING
KS12,24,24,48,✗ MISSING
KM22,26,22,48,✗ MISSING
K3O9,35,11,46,✗ MISSING
K10G,23,23,46,✗ MISSING
K4R5,23,22,45,✗ MISSING
K6R3,24,21,45,✗ MISSING
K06A,22,22,44,✗ MISSING
K3MY,21,22,43,✗ MISSING
K1V6,20,23,43,✗ MISSING
KI23,22,20,42,✗ MISSING
K6A4,20,22,42,✗ MISSING
K2M2,21,20,41,✗ MISSING
KX14,22,18,40,✗ MISSING
K0M5,19,21,40,✗ MISSING
KI69,19,20,39,✗ MISSING
K4M1,19,19,38,✗ MISSING
KM32,18,19,37,✗ MISSING
KM18,17,19,36,✗ MISSING
K3A2,19,17,36,✗ MISSING
K1R7,21,15,36,✗ MISSING
KC04,18,18,36,✗ MISSING
KX51,19,17,36,✗ MISSING
KI63,18,17,35,✗ MISSING
K4G4,19,13,32,✗ MISSING
K0R1,15,17,32,✗ MISSING
K2J3,15,17,32,✗ MISSING
KX50,14,17,31,✗ MISSING
K49B,15,16,31,✗ MISSING
K0L7,13,18,31,✗ MISSING
KM17,15,16,31,✗ MISSING
KC15,15,15,30,✗ MISSING
KK61,16,14,30,✗ MISSING
K5A1,15,14,29,✗ MISSING
KH71,13,16,29,✗ MISSING
K1G0,16,13,29,✗ MISSING
K42J,16,13,29,✗ MISSING
